run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,6,software_development,0.0,0.0
neural_baseline_lambda_s_0,6,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,6,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,6,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,6,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,6,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,6,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,7,visual_art_practice,282.6,164.47887402338333
neural_baseline_lambda_s_0,7,clinical_care,189.6,198.3993447569825
neural_baseline_lambda_s_0,7,male_pronouns,188.0,390.2941198634691
neural_baseline_lambda_s_0,7,live_music_or_recording,186.8,184.98837801332277
neural_baseline_lambda_s_0,7,design_work,167.8,168.5369395711219
neural_baseline_lambda_s_0,7,legal_or_regulatory_work,163.2,304.54835412459545
neural_baseline_lambda_s_0,7,literary_writing,161.0,239.5412281842105
neural_baseline_lambda_s_0,7,creative_or_artistic_work,160.0,168.08182531136436
neural_baseline_lambda_s_0,7,nutrition_or_diet_guidance,112.6,174.14878696103514
neural_baseline_lambda_s_0,7,camera_or_photography_work,103.0,230.31500168247837
neural_baseline_lambda_s_0,7,dental_or_oral_health,88.2,77.02077641779522
neural_baseline_lambda_s_0,7,technical_or_engineering_work,48.2,107.22033389241054
neural_baseline_lambda_s_0,7,surgical_work,45.6,101.9646997739904
neural_baseline_lambda_s_0,7,film_or_video_production,42.8,76.25745865159683
neural_baseline_lambda_s_0,7,nursing_care,39.4,85.87374453230743
neural_baseline_lambda_s_0,7,health_or_wellness_work,19.6,43.82693235899588
neural_baseline_lambda_s_0,7,female_pronouns,1.6,3.577708763999664
neural_baseline_lambda_s_0,7,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,7,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,7,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,7,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,7,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,7,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,7,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,7,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,7,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,7,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,7,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,7,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,7,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,7,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,7,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,7,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,7,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,7,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,7,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,7,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,7,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,7,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,7,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,7,medical_training,0.0,0.0
neural_baseline_lambda_s_0,7,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,7,music_composition,0.0,0.0
neural_baseline_lambda_s_0,7,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,7,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,7,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,7,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,7,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,7,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,7,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,7,research_publications,0.0,0.0
neural_baseline_lambda_s_0,7,scientific_or_lab_research,0.0,0.0
